"25.39","!","0
"
"25.39","!","1
"
"25.39","!","2
"
"25.39","!","3
"
"25.39","!","4
"
"26.37","!","5
"
"25.39","!","6
"
"25.88","!","7
"
"25.39","!","8
"
"25.39","!","9
"
"26.37","!","10
"
"25.88","!","11
"
"25.39","!","12
"
"25.39","!","13
"
"25.39","!","14
"
"25.39","!","15
"
"25.88","!","16
"
"25.39","!","17
"
"25.39","!","18
"
"25.88","!","19
"
"25.39","!","20
"
"24.90","!","21
"
"25.39","!","22
"
"25.88","!","23
"
"25.88","!","24
"
"25.88","!","25
"
"25.39","!","26
"
"25.88","!","27
"
"25.39","!","28
"
"25.39","!","29
"
"25.88","!","30
"
"25.39","!","31
"
"25.88","!","32
"
"25.88","!","33
"
"25.39","!","34
"
"25.39","!","35
"
"25.88","!","36
"
"25.39","!","37
"
"25.39","!","38
"
"25.88","!","39
"
"25.39","!","40
"
"26.37","!","41
"
"25.39","!","42
"
"25.39","!","43
"
"23.93","!","44
"
"25.39","!","45
"
"25.88","!","46
"
"25.39","!","47
"
"25.88","!","48
"
"24.90","!","49
"
"25.39","!","50
"
"25.39","!","51
"
"25.88","!","52
"
"25.39","!","53
"
"26.86","!","54
"
"24.90","!","55
"
"25.39","!","56
"
"25.39","!","57
"
"25.88","!","58
"
"25.39","!","59
"
"24.90","!","60
"
"26.37","!","61
"
"25.39","!","62
"
"25.39","!","63
"
"26.37","!","64
"
"26.86","!","65
"
"25.88","!","66
"
"25.88","!","67
"
"25.39","!","68
"
"25.39","!","69
"
"25.39","!","70
"
"25.39","!","71
"
"25.39","!","72
"
"25.88","!","73
"
"24.90","!","74
"
"25.88","!","75
"
"25.39","!","76
"
"24.41","!","77
"
"25.39","!","78
"
"25.39","!","79
"
"25.88","!","80
"
"25.39","!","81
"
"25.39","!","82
"
"26.37","!","83
"
"25.39","!","84
"
"25.39","!","85
"
"25.39","!","86
"
"25.88","!","87
"
"25.39","!","88
"
"24.41","!","89
"
"24.90","!","90
"
"25.39","!","91
"
"25.88","!","92
"
"25.39","!","93
"
"26.37","!","94
"
"25.39","!","95
"
"24.90","!","96
"
"25.88","!","97
"
"25.39","!","98
"
"25.39","!","99
"
"25.88","!","100
"
"25.39","!","101
"
"25.39","!","102
"
